time (s),acc (m/s2)
2.42,0.0049
2.425,0.0049
2.43,0.0049
2.435,0.0049
2.44,0.0049
2.445,0.0049
2.45,0.0049
2.455,0.0049
2.46,0.0049
2.465,0.0049
2.47,0.0049
2.475,0.0049
2.48,0.0049
2.485,0.0049
2.49,0.0049
2.495,0.0049
2.5,0.0049
2.505,0.0049
2.51,0.0049
2.515,0.0049
2.52,0.0049
2.525,0.0049
2.53,0.0049
2.535,0.0049
2.54,0.0049
2.545,0.0049
2.55,0.0049
2.555,0.0049
2.56,0.0049
2.565,0.0049
2.57,0.0049
2.575,0.0049
2.58,0.0049
2.585,0.0049
2.59,0.0049
2.595,0.0049
2.6,0.0049
2.605,0.0049
2.61,0.0049
2.615,0.0049
2.62,0.00588
2.625,0.00588
2.63,0.00588
2.635,0.00686
2.64,0.00686
2.645,0.00686
2.65,0.00784
2.655,0.00784
2.66,0.00784
2.665,0.00882
2.67,0.00882
2.675,0.00882
2.68,0.00882
2.685,0.0098
2.69,0.00882
2.695,0.00882
2.7,0.00882
2.705,0.00882
2.71,0.00784
2.715,0.00784
2.72,0.00784
2.725,0.00686
2.73,0.00686
2.735,0.00686
2.74,0.00588
2.745,0.00588
2.75,0.00588
2.755,0.0049
2.76,0.0049
2.765,0.0049
2.77,0.0049
2.775,0.0049
2.78,0.0049
2.785,0.0049
2.79,0.0049
2.795,0.0049
2.8,0.0049
2.805,0.0049
2.81,0.0049
2.815,0.0049
2.82,0.0049
2.825,0.0049
2.83,0.0049
2.835,0.0049
2.84,0.0049
2.845,0.0049
2.85,0.0049
2.855,0.0049
2.86,0.0049
2.865,0.0049
2.87,0.0049
2.875,0.0049
2.88,0.0049
2.885,0.0049
2.89,0.0049
2.895,0.0049
2.9,0.0049
2.905,0.0049
2.91,0.0049
2.915,0.0049
2.92,0.0049
2.925,0.0049
2.93,0.0049
2.935,0.0049
2.94,0.0049
2.945,0.0049
2.95,0.0049
2.955,0.0049
2.96,0.0049
2.965,0.0049
2.97,0.0049
2.975,0.0049
2.98,0.0049
2.985,0.0049
2.99,0.0049
2.995,0.0049
3,0.0049
3.005,0.0049
3.01,0.0049
3.015,0.0049
3.02,0.0049
3.025,0.0049
3.03,0.0049
3.035,0.0049
3.04,0.0049
3.045,0.0049
3.05,0.0049
3.055,0.0049
3.06,0.0049
3.065,0.0049
3.07,0.0049
3.075,0.0049
3.08,0.0049
3.085,0.0049
3.09,0.0049
